AREA,N° CRUCE,INTERSECCIÓN,Controlador tipo,Centralizado ,Restan cambiar,En sistema,Conexión,Proyecto,Subárea,Edad
4,4385,Freire Ramón Cap. Gral.-Loreto Virrey,Autotrol CT800dmc,NO,,Aislado,,Lacroze / Álvarez Thomas,402,1
4,4386,Zapiola-Loreto Virrey,Autotrol CT800dmc,NO,,Aislado,,Lacroze / Álvarez Thomas,402,1
4,4387,Zapiola-Céspedes,Autotrol CT800dmc,NO,,Aislado,,Lacroze / Álvarez Thomas,402,1
4,4388,Medrano Av.-Tucumán ,Autotrol CT800dmc,SI,,Citar,Par telefónico,Córdoba / Medrano,407,1
4,4389,Medrano Av.-Lavalle,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba / Medrano,407,1
4,4390,Gallo-San Luis,Autotrol CT800dmc,SI,,A30,Par telefónico,Corrientes / Salguero,408,1
4,4391,Gallo-Tucumán,Autotrol CT800dmc,SI,,A30,Par telefónico,Corrientes / Salguero,408,1
4,4392,Ramírez de Velasco J.-Gurruchaga,Autotrol CT800dmc,NO,,Aislado,,Thames,404,1
4,4393,Honduras-Godoy Cruz,Autotrol CT800dmc,NO,,Aislado,,Córdoba / Thames,405,1
4,4394,Borges-Costa Rica,Autotrol CT800dmc,NO,,Aislado,,Córdoba / Thames,405,1
4,4395,Uriarte-Honduras,Autotrol CT800dmc,NO,,Aislado,,Córdoba / Thames,405,1
4,4396,Thames-Honduras,Autotrol CT800dmc,NO,,Aislado,,Córdoba / Thames,405,1
4,4397,Thames-Gorriti,Autotrol CT800dmc,NO,,Aislado,,Córdoba / Thames,405,1
4,4398,Zapiola-Arenal Concepción,Autotrol CT800dmc,NO,,Aislado,,Córdoba/Dorrego,403,1
